#Time,Wind X,Wind Y,Sail,Rudder,Yaw,Heel,Longitude,Latitude,Vel X,Vel Y,True Wind X,True Wind Y
4201.587313,-1.789109,2.256876,0.848230,-0.244346,-0.066204,-0.361200,-71.756523,42.290298,0.089882,0.764736,-1.168491,2.107779
4201.687313,-1.717867,2.435022,0.848230,-0.244346,-0.057504,-0.361200,-71.756516,42.290298,0.057268,0.817998,-1.168491,2.107779
4201.787313,-1.717867,2.435022,0.848230,-0.226893,-0.055804,-0.361200,-71.756516,42.290298,0.057268,0.817998,-1.168491,2.107779
4201.887313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4201.987313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4202.087313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4202.187313,-1.782935,2.633162,0.848230,-0.209440,-0.038304,-0.342000,-71.756516,42.290298,0.038687,0.819087,-1.309413,2.153099
4202.287313,-1.782935,2.633162,0.848230,-0.209440,-0.026104,-0.342000,-71.756508,42.290298,0.034961,0.869297,-1.309413,2.153099
4202.387313,-1.782935,2.633162,0.848230,-0.209440,-0.017404,-0.342000,-71.756508,42.290298,0.034961,0.869297,-1.565897,2.100563
4202.487313,-1.782935,2.633162,0.848230,-0.191986,-0.003404,-0.342000,-71.756508,42.290298,0.030441,0.869467,-1.565897,2.100563
4202.587313,-1.782935,2.633162,0.848230,-0.191986,0.003596,-0.342000,-71.756508,42.290298,0.030441,0.869467,-1.565897,2.100563
4202.687313,-1.869357,2.572529,0.848230,-0.174533,0.013996,-0.342000,-71.756508,42.290298,0.038625,0.919189,-1.565897,2.100563
4202.787313,-1.869357,2.572529,0.848230,-0.174533,0.019296,-0.342000,-71.756508,42.290298,0.038625,0.919189,-1.565897,2.100563
4202.887313,-1.869357,2.572529,0.848230,-0.157080,0.026296,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4202.987313,-1.869357,2.572529,0.848230,-0.157080,0.034996,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4203.087313,-1.869357,2.572529,0.848230,-0.157080,0.034996,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4203.187313,-1.902877,2.357956,0.848230,-0.157080,0.043696,-0.375200,-71.756500,42.290298,0.038980,0.969217,-1.525278,2.068436
4203.287313,-1.902877,2.357956,0.848230,-0.139626,0.048896,-0.375200,-71.756493,42.290298,0.059323,0.968184,-1.525278,2.068436
4203.387313,-1.902877,2.357956,0.816814,-0.139626,0.057696,-0.375200,-71.756493,42.290298,0.059323,0.968184,-1.338201,1.821213
4203.487313,-1.902877,2.357956,0.848230,-0.139626,0.057696,-0.375200,-71.756493,42.290298,0.062381,1.018091,-1.338201,1.821213
4203.587313,-1.902877,2.357956,0.816814,-0.139626,0.061196,-0.375200,-71.756493,42.290298,0.062381,1.018091,-1.338201,1.821213
4203.687313,-1.539699,2.492835,0.816814,-0.122173,0.062896,-0.375200,-71.756493,42.290298,0.076526,1.017125,-1.338201,1.821213
4203.787313,-1.539699,2.492835,0.816814,-0.122173,0.059396,-0.375200,-71.756493,42.290298,0.076526,1.017125,-1.338201,1.821213
4203.887313,-1.539699,2.492835,0.816814,-0.139626,0.061196,-0.411800,-71.756485,42.290298,0.096040,1.015469,-1.373917,1.918841
4203.987313,-1.539699,2.492835,0.816814,-0.139626,0.059396,-0.411800,-71.756485,42.290298,0.096040,1.015469,-1.373917,1.918841
4204.098451,-1.539699,2.492835,0.816814,-0.139626,0.057696,-0.411800,-71.756485,42.290302,0.112973,1.074075,-1.373917,1.918841
4204.187313,-1.766694,2.522933,0.816814,-0.122173,0.061196,-0.411800,-71.756485,42.290302,0.112973,1.074075,-1.373917,1.918841
4204.287313,-1.766694,2.522933,0.816814,-0.122173,0.059396,-0.411800,-71.756485,42.290302,0.126067,1.122946,-1.373917,1.918841
4204.387313,-1.766694,2.522933,0.816814,-0.122173,0.054196,-0.411800,-71.756485,42.290302,0.126067,1.122946,-1.271712,1.928432
4204.487313,-1.766694,2.522933,0.816814,-0.122173,0.054196,-0.411800,-71.756485,42.290302,0.133924,1.122036,-1.271712,1.928432
4204.587313,-1.766694,2.522933,0.816814,-0.139626,0.043696,-0.411800,-71.756485,42.290302,0.133924,1.122036,-1.271712,1.928432
4204.687313,-1.805229,2.166460,0.816814,-0.139626,0.040196,-0.411800,-71.756477,42.290302,0.133924,1.122036,-1.271712,1.928432
4204.787313,-1.805229,2.166460,0.816814,-0.157080,0.036696,-0.411800,-71.756477,42.290302,0.133924,1.122036,-1.271712,1.928432
4204.887313,-1.805229,2.166460,0.816814,-0.157080,0.031496,-0.471200,-71.756470,42.290302,0.135748,1.172166,-1.328530,1.828280
4204.987313,-1.805229,2.166460,0.816814,-0.157080,0.033196,-0.471200,-71.756470,42.290302,0.135748,1.172166,-1.328530,1.828280
4205.087313,-1.805229,2.166460,0.816814,-0.157080,0.029796,-0.471200,-71.756470,42.290302,0.125428,1.173315,-1.328530,1.828280
4205.187313,-1.910793,2.678240,0.816814,-0.174533,0.026296,-0.471200,-71.756470,42.290302,0.125428,1.173315,-1.328530,1.828280
4205.287313,-1.910793,2.678240,0.816814,-0.174533,0.020996,-0.471200,-71.756462,42.290302,0.117329,1.174152,-1.328530,1.828280
4205.387313,-1.910793,2.678240,0.785398,-0.191986,0.012296,-0.471200,-71.756462,42.290302,0.117329,1.174152,-1.427456,2.076721
4205.487313,-1.910793,2.678240,0.785398,-0.191986,0.007096,-0.471200,-71.756462,42.290302,0.113219,1.174556,-1.427456,2.076721
4205.591845,-1.910793,2.678240,0.785398,-0.191986,0.001796,-0.471200,-71.756462,42.290302,0.113219,1.174556,-1.427456,2.076721
4205.687313,-2.043808,2.578168,0.785398,-0.209440,-0.001704,-0.471200,-71.756462,42.290302,0.100865,1.225857,-1.427456,2.076721
4205.787313,-2.043808,2.578168,0.785398,-0.191986,0.001796,-0.471200,-71.756462,42.290302,0.100865,1.225857,-1.427456,2.076721
4205.887313,-2.043808,2.578168,0.785398,-0.191986,0.001796,-0.490400,-71.756454,42.290302,0.098330,1.276217,-1.298200,2.159879
4205.991832,-2.043808,2.578168,0.816814,-0.209440,-0.001704,-0.490400,-71.756454,42.290302,0.098330,1.276217,-1.298200,2.159879
4206.087313,-2.043808,2.578168,0.816814,-0.209440,-0.001704,-0.490400,-71.756454,42.290302,0.098330,1.276217,-1.298200,2.159879
4206.187313,-1.930045,2.786939,0.785398,-0.226893,-0.015604,-0.490400,-71.756447,42.290302,0.082753,1.277322,-1.298200,2.159879
4206.287313,-1.930045,2.786939,0.785398,-0.226893,-0.017404,-0.490400,-71.756447,42.290302,0.064864,1.278355,-1.298200,2.159879
4206.387313,-1.930045,2.786939,0.816814,-0.226893,-0.017404,-0.490400,-71.756447,42.290302,0.064864,1.278355,-1.347222,2.305188
4206.487313,-1.930045,2.786939,0.816814,-0.226893,-0.013904,-0.490400,-71.756447,42.290302,0.055914,1.278778,-1.347222,2.305188
4206.587313,-1.930045,2.786939,0.785398,-0.226893,-0.015604,-0.490400,-71.756447,42.290302,0.055914,1.278778,-1.347222,2.305188
4206.687313,-1.736379,2.735432,0.785398,-0.226893,-0.013904,-0.490400,-71.756439,42.290302,0.044786,1.279216,-1.347222,2.305188
4206.787313,-1.736379,2.735432,0.816814,-0.244346,-0.017404,-0.490400,-71.756439,42.290302,0.044786,1.279216,-1.347222,2.305188
4206.887313,-1.736379,2.735432,0.785398,-0.244346,-0.015604,-0.481700,-71.756439,42.290302,0.042483,1.279295,-1.128536,2.185865
4206.987313,-1.736379,2.735432,0.785398,-0.244346,-0.015604,-0.481700,-71.756439,42.290302,0.042483,1.279295,-1.128536,2.185865
4207.087313,-1.736379,2.735432,0.785398,-0.244346,-0.015604,-0.481700,-71.756432,42.290302,0.032577,1.329601,-1.128536,2.185865
4207.187313,-1.792140,2.626906,0.816814,-0.244346,-0.001704,-0.481700,-71.756432,42.290302,0.032577,1.329601,-1.128536,2.185865
4207.287313,-1.792140,2.626906,0.816814,-0.244346,0.000096,-0.481700,-71.756432,42.290302,0.030317,1.329654,-1.128536,2.185865
4207.387313,-1.792140,2.626906,0.816814,-0.244346,0.003596,-0.481700,-71.756432,42.290302,0.030317,1.329654,-1.162984,2.291804
4207.487313,-1.792140,2.626906,0.816814,-0.226893,0.010596,-0.481700,-71.756432,42.290302,0.034970,1.329540,-1.162984,2.291804
4207.587313,-1.792140,2.626906,0.816814,-0.226893,0.015796,-0.481700,-71.756432,42.290302,0.034970,1.329540,-1.162984,2.291804
4207.687313,-2.028750,2.653257,0.816814,-0.226893,0.027996,-0.481700,-71.756424,42.290302,0.032577,1.329601,-1.162984,2.291804
4207.787313,-2.028750,2.653257,0.816814,-0.226893,0.033196,-0.481700,-71.756424,42.290302,0.032577,1.329601,-1.162984,2.291804
4207.887313,-2.028750,2.653257,0.816814,-0.209440,0.041996,-0.485100,-71.756416,42.290302,0.044143,1.329267,-1.318572,1.896699
4207.987313,-2.028750,2.653257,0.816814,-0.209440,0.052396,-0.485100,-71.756416,42.290302,0.044143,1.329267,-1.318572,1.896699
4208.087313,-2.028750,2.653257,0.785398,-0.209440,0.052396,-0.485100,-71.756416,42.290302,0.044143,1.329267,-1.318572,1.896699
4208.187313,-1.569870,2.707842,0.816814,-0.174533,0.068096,-0.485100,-71.756416,42.290306,0.053447,1.328926,-1.318572,1.896699
4208.287313,-1.569870,2.707842,0.816814,-0.174533,0.073396,-0.485100,-71.756409,42.290306,0.062748,1.328519,-1.318572,1.896699
4208.387313,-1.569870,2.707842,0.816814,-0.174533,0.087296,-0.485100,-71.756409,42.290306,0.062748,1.328519,-1.082660,2.097009
4208.491705,-1.569870,2.707842,0.816814,-0.157080,0.092596,-0.485100,-71.756409,42.290306,0.069655,1.328175,-1.082660,2.097009
4208.587313,-1.569870,2.707842,0.816814,-0.157080,0.092596,-0.485100,-71.756409,42.290306,0.069655,1.328175,-1.082660,2.097009
4208.687313,-1.399299,2.631038,0.816814,-0.157080,0.097796,-0.485100,-71.756409,42.290306,0.098719,1.376464,-1.082660,2.097009
4208.787313,-1.399299,2.631038,0.816814,-0.157080,0.099596,-0.485100,-71.756409,42.290306,0.098719,1.376464,-1.082660,2.097009
4208.887313,-1.399299,2.631038,0.816814,-0.139626,0.099596,-0.471200,-71.756401,42.290306,0.110828,1.375543,-0.853062,2.038721
4208.987313,-1.399299,2.631038,0.816814,-0.157080,0.116996,-0.471200,-71.756401,42.290306,0.110828,1.375543,-0.853062,2.038721
4209.087313,-1.399299,2.631038,0.816814,-0.139626,0.116996,-0.471200,-71.756401,42.290306,0.115641,1.375146,-0.853062,2.038721
4209.187313,-1.447451,2.547506,0.816814,-0.139626,0.118796,-0.471200,-71.756401,42.290306,0.115641,1.375146,-0.853062,2.038721
4209.287313,-1.447451,2.547506,0.816814,-0.139626,0.122296,-0.471200,-71.756401,42.290306,0.125228,1.324091,-0.853062,2.038721
4209.387313,-1.447451,2.547506,0.816814,-0.139626,0.123996,-0.471200,-71.756401,42.290306,0.125228,1.324091,-1.128446,1.900187
4209.487313,-1.447451,2.547506,0.816814,-0.139626,0.125696,-0.471200,-71.756393,42.290306,0.136875,1.322938,-1.128446,1.900187
4209.587313,-1.447451,2.547506,0.785398,-0.139626,0.127496,-0.471200,-71.756393,42.290306,0.136875,1.322938,-1.128446,1.900187
4209.687313,-1.401682,2.446975,0.816814,-0.139626,0.127496,-0.471200,-71.756393,42.290306,0.168348,1.369693,-1.128446,1.900187
4209.787313,-1.401682,2.446975,0.816814,-0.139626,0.123996,-0.471200,-71.756393,42.290306,0.168348,1.369693,-1.128446,1.900187
4209.887313,-1.401682,2.446975,0.816814,-0.157080,0.129196,-0.465900,-71.756393,42.290306,0.192155,1.366557,-1.043807,2.004512
4209.987313,-1.401682,2.446975,0.816814,-0.139626,0.129196,-0.465900,-71.756393,42.290306,0.192155,1.366557,-1.043807,2.004512
4210.087313,-1.401682,2.446975,0.816814,-0.139626,0.129196,-0.465900,-71.756393,42.290306,0.192155,1.366557,-1.043807,2.004512
4210.187313,-1.722708,2.672953,0.816814,-0.139626,0.129196,-0.465900,-71.756386,42.290310,0.206492,1.364464,-1.043807,2.004512
4210.287313,-1.722708,2.672953,0.816814,-0.139626,0.123996,-0.465900,-71.756386,42.290310,0.225438,1.361462,-1.043807,2.004512
4210.387313,-1.722708,2.672953,0.816814,-0.139626,0.125696,-0.465900,-71.756386,42.290310,0.225438,1.361462,-1.122720,2.075837
4210.487313,-1.722708,2.672953,0.816814,-0.139626,0.122296,-0.465900,-71.756386,42.290310,0.218355,1.362615,-1.122720,2.075837
4210.587313,-1.722708,2.672953,0.816814,-0.139626,0.125696,-0.465900,-71.756386,42.290310,0.218355,1.362615,-1.122720,2.075837
4210.687313,-1.591184,2.637145,0.816814,-0.139626,0.123996,-0.465900,-71.756378,42.290310,0.230202,1.360664,-1.122720,2.075837
4210.787313,-1.591184,2.637145,0.816814,-0.157080,0.122296,-0.465900,-71.756378,42.290310,0.230202,1.360664,-1.122720,2.075837
4210.887313,-1.591184,2.637145,0.816814,-0.157080,0.122296,-0.465900,-71.756378,42.290310,0.237410,1.359425,-0.955241,2.048198
4210.987313,-1.591184,2.637145,0.816814,-0.157080,0.122296,-0.465900,-71.756378,42.290310,0.237410,1.359425,-0.955241,2.048198
4212.000000,-1.591184,2.637145,0.816814,-0.157080,0.122296,-0.465900,-71.756378,42.290310,0.237410,1.359425,-0.955241,2.048198
